Experiment,Location,Date,Temperature_C,Salinity_ppt,Replicate_Chamber,Species,Habitat,Wet_weight_g,Wet_weight_kg,Empty weigh boat,Dry weight w boat,Ashed weight w boat,AFDW_g,AFDW_kg,Metab_Tissue_kg,Vol_displaced_ml,Vol_emptyChamber_ml,Animal_Vol,VOL_final_ml,Vol_final_L,Condition,Time_Holding_Tank,Temp_Holding_Tank,Time_Chamber,Start_exp,End_exp,Time_exp_min,MR_WetWeight_ml/h/g,MR_AFDW_ml/h/g,MR_MetabTiss_ml/h/g,VO2_ml/h,Regression range (t),rsquared
1.3,Biscayan Cove,15-08-2020,4,24.3,1,Strongylocentrotus droebachiensis,Barren,67.9,0.0679,1.898,23.435,20.878,2.557,0.002557,0.065343,720,650,70,580,0.58,Field-fresh,2.5 days,14,8:55,9:55,12:00,125,0.0026064,0.0692113,0.0027591,0.1672958,10-65min,0.997
1.3,Biscayan Cove,15-08-2020,4,24.3,2,Strongylocentrotus droebachiensis,Barren,74.7,0.0747,2.014,26.947,23.363,3.584,0.003584,0.071116,720,650,70,580,0.58,Field-fresh,2.5 days,14,8:55,9:55,12:00,125,0.0030763,0.0715384,0.0039661,0.2752447,10-65min,0.996
1.3,Biscayan Cove,15-08-2020,4,24.3,3,Strongylocentrotus droebachiensis,Barren,81.2,0.0812,2.51,28.194,25.064,3.13,0.00313,0.07807,730,650,80,570,0.57,Field-fresh,2.5 days,14,8:55,9:55,12:00,125,0.0022354,0.0588037,0.0023958,0.1567327,10-65min,0.998
1.3,Biscayan Cove,15-08-2020,4,24.3,4,Strongylocentrotus droebachiensis,Barren,75.9,0.0759,2.138,26.197,23.116,3.081,0.003081,0.072819,720,650,70,580,0.58,Field-fresh,2.5 days,14,8:55,9:55,12:00,125,0.0031693,0.0801929,0.0034805,0.2286537,10-65min,0.998
1.3,Biscayan Cove,15-08-2020,4,24.3,5,Strongylocentrotus droebachiensis,Kelp,95.4,0.0954,2.173,31.047,25.134,5.913,0.005913,0.089487,745,650,95,555,0.555,Field-fresh,2.5 days,14,8:55,9:55,12:00,125,0.0052479,0.0908758,0.0058158,0.5302828,10-65min,0.992
1.3,Biscayan Cove,15-08-2020,4,24.3,6,Strongylocentrotus droebachiensis,Kelp,65.8,0.0658,2.496,26.97,21.893,5.077,0.005077,0.060723,705,650,55,595,0.595,Field-fresh,2.5 days,14,8:55,9:55,12:00,125,0.0069614,0.079485,0.0069156,0.3929635,10-65min,0.995
1.3,Biscayan Cove,15-08-2020,4,24.3,7,Strongylocentrotus droebachiensis,Kelp,107.6,0.1076,2.14,40.861,33.766,7.095,0.007095,0.100505,750,650,100,550,0.55,Field-fresh,2.5 days,14,8:55,9:55,12:00,125,0.0051436,0.0755097,0.0057931,0.5598502,10-65min,0.995
1.3,Biscayan Cove,15-08-2020,4,24.3,8,Strongylocentrotus droebachiensis,Kelp,101.2,0.1012,2.027,36.716,29.05,7.666,0.007666,0.093534,745,650,95,555,0.555,Field-fresh,2.5 days,14,8:55,9:55,12:00,125,0.0057104,0.0348099,0.0058556,0.5360984,30-80min,0.999
1.3,Biscayan Cove,15-08-2020,4,24.3,9,Strongylocentrotus droebachiensis,Kelp,59.1,0.0591,2.213,24.252,20.23,4.022,0.004022,0.055078,700,650,50,600,0.6,Field-fresh,2.5 days,14,8:55,9:55,12:00,125,0.0061856,0.0927806,0.006644,0.3327956,10-65min,0.998
1.3,Biscayan Cove,15-08-2020,4,24.3,10,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,Field-fresh,2.5 days,14,8:55,9:55,12:00,125,,,,,,
1.6,Biscayan Cove,18-08-2020,6,26.3,1,Strongylocentrotus droebachiensis,Kelp,71.8,0.0718,5.414,29.763,24.19,5.573,0.005573,0.066227,710,650,60,590,0.59,Field-fresh,5.5 days,14,8:25,9:30,11:10,100,0.0066991,0.0863082,0.0076396,0.5098229,24-47mins,0.997
1.6,Biscayan Cove,18-08-2020,6,26.3,2,Strongylocentrotus droebachiensis,Kelp,70,0.07,2.156,23.14,18.485,4.655,0.004655,0.065345,710,650,60,590,0.59,Field-fresh,5.5 days,14,8:25,9:30,11:10,100,0.008172,0.1206472,0.0081591,0.5602644,24-47mins,0.993
1.6,Biscayan Cove,18-08-2020,6,26.3,3,Strongylocentrotus droebachiensis,Kelp,85.3,0.0853,1.942,32.322,25.223,7.099,0.007099,0.078201,725,650,75,575,0.575,Field-fresh,5.5 days,14,8:25,9:30,11:10,100,0.0059909,0.068359,0.0062056,0.4620155,24-39mins,0.991
1.6,Biscayan Cove,18-08-2020,6,26.3,4,Strongylocentrotus droebachiensis,Kelp,74.9,0.0749,2.306,29.701,24.589,5.112,0.005112,0.069788,710,650,60,590,0.59,Field-fresh,5.5 days,14,8:25,9:30,11:10,100,0.0075272,0.1017944,0.0084541,0.5629276,15-39mins,0.994
1.6,Biscayan Cove,18-08-2020,6,26.3,5,Strongylocentrotus droebachiensis,Barren,72.3,0.0723,5.425,28.815,25.041,3.774,0.003774,0.068526,700,650,50,600,0.6,Field-fresh,5.5 days,14,8:25,9:30,11:10,100,0.0052528,0.1017039,0.0053446,0.3582977,15-60mins,0.998
1.6,Biscayan Cove,18-08-2020,6,26.3,6,Strongylocentrotus droebachiensis,Barren,66.6,0.0666,5.425,28.54,25.467,3.073,0.003073,0.063527,720,650,70,580,0.58,Field-fresh,5.5 days,14,8:25,9:30,11:10,100,0.0054507,0.1147087,0.0058858,0.3294991,10-40mins,0.998
1.6,Biscayan Cove,18-08-2020,6,26.3,7,Strongylocentrotus droebachiensis,Barren,86.6,0.0866,2.176,29.775,26.23,3.545,0.003545,0.083055,700,650,50,600,0.6,Field-fresh,5.5 days,14,8:25,9:30,11:10,100,0.0050882,0.1239545,0.0049298,0.4157254,10-60mins,0.999
1.6,Biscayan Cove,18-08-2020,6,26.3,8,Strongylocentrotus droebachiensis,Barren,68,0.068,5.374,26.624,23.875,2.749,0.002749,0.065251,700,650,50,600,0.6,Field-fresh,5.5 days,14,8:25,9:30,11:10,100,0.0052006,0.1296017,0.0057282,0.3789342,10-60mins,0.999
1.6,Biscayan Cove,18-08-2020,6,26.3,9,Strongylocentrotus droebachiensis,Barren,58.4,0.0584,2.401,20.749,18.338,2.411,0.002411,0.055989,695,650,45,605,0.605,Field-fresh,5.5 days,14,8:25,9:30,11:10,100,0.0057742,0.1443978,0.0057776,0.2732082,10-40mins,0.997
1.6,Biscayan Cove,18-08-2020,6,26.3,10,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,Field-fresh,5.5 days,14,8:25,9:30,11:10,100,,,,,,
