Experiment,Exp_type,Location,Salinity,Temp,Depth avrg,Date,Replicate_Chamber,Species,Habitat,Wet_weight_g,Wet_weight_kg,Empty weigh boat,Dry weight w boat,Ashed weight w boat,AFDW_g,AFDW_kg,Metab_Tissue_kg,Vol_displaced_ml,Vol_empty_ml,Animal_Vol,VOL_final_ml,Vol_final_L,Condition,Time_holding_Tank,Holding_place,Holding temp,MR_WetWeight_ml/h/g,MR_AFDW_ml/h/g,MR_Metab_Tissue_ml/h/g,VO2_AFDW_ml/h,Regression range (t),Quality regression,Time start,Time end,Notes,rsquared
4.1,TPC_accl,Bauline,25.4,4,2.35,15-10-2020,1,Strongylocentrotus droebachiensis,Barren,43.7,0.0437,2.488,18.255,15.43,2.825,0.002825,,700,650,50,600,0.6,Acclimated,24 days,Multi-stressor,14,0.003950411,0.06110902,,,10-102,Great,0,102,,
4.1,TPC_accl,Bauline,25.4,4,2.35,15-10-2020,2,Strongylocentrotus droebachiensis,Barren,46.9,0.0469,2.489,17.963,15.747,2.216,0.002216,,700,650,50,600,0.6,Acclimated,24 days,Multi-stressor,14,0.003019749,0.06391076,,,10-102,Great,0,102,,
4.1,TPC_accl,Bauline,25.4,4,2.35,15-10-2020,3,Strongylocentrotus droebachiensis,Barren,42.6,0.0426,2.392,16.391,13.559,2.832,0.002832,,690,650,40,610,0.61,Acclimated,24 days,Multi-stressor,14,0.003033113,0.04562522,,,10-102,Great,0,102,,
4.1,TPC_accl,Bauline,25.4,4,2.35,15-10-2020,4,Strongylocentrotus droebachiensis,Barren,46.8,0.0468,2.365,18.083,15.099,2.984,0.002984,,700,650,50,600,0.6,Acclimated,24 days,Multi-stressor,14,0.002415961,0.03789108,,,10-102,Great,0,102,,
4.1,TPC_accl,Bauline,25.4,4,1.35,15-10-2020,5,Strongylocentrotus droebachiensis,Kelp,44.98,0.04498,2.416,18.523,15.226,3.297,0.003297,,690,650,40,610,0.61,Acclimated,24 days,Multi-stressor,14,0.004921817,0.0671469,,,10-102,Great,0,102,,
4.1,TPC_accl,Bauline,25.4,4,1.35,15-10-2020,6,Strongylocentrotus droebachiensis,Kelp,56,0.056,2.53,23.182,18.657,4.525,0.004525,,700,650,50,600,0.6,Acclimated,24 days,Multi-stressor,14,0.006296782,0.07792702,,,10-102,Great,0,102,,
4.1,TPC_accl,Bauline,25.4,4,1.35,15-10-2020,7,Strongylocentrotus droebachiensis,Kelp,44.8,0.0448,2.284,16.592,14.241,2.351,0.002351,,690,650,40,610,0.61,Acclimated,24 days,Multi-stressor,14,0.004326952,0.08245319,,,10-102,Great,0,102,,
4.1,TPC_accl,Bauline,25.4,4,1.35,15-10-2020,8,Strongylocentrotus droebachiensis,Kelp,48.9,0.0489,2.554,20.311,16.549,3.762,0.003762,,690,650,40,610,0.61,Acclimated,24 days,Multi-stressor,14,0.004935466,0.06415319,,,10-102,Great,0,102,,
4.1,TPC_accl,Bauline,25.4,4,1.35,15-10-2020,9,Strongylocentrotus droebachiensis,Kelp,39.9,0.0399,4.017,19.338,16.192,3.146,0.003146,,670,650,20,630,0.63,Acclimated,24 days,Multi-stressor,14,0.006936263,0.08797105,,,10-102,Great,0,102,,
4.1,TPC_accl,Bauline,25.4,4,1.35,15-10-2020,10,Blank,Blank,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
4.1,TPC_accl,Bauline,26.4,6,2.35,15-10-2020,1,Strongylocentrotus droebachiensis,Barren,43.7,0.0437,2.488,18.255,15.43,2.825,0.002825,,700,650,50,600,0.6,Acclimated,24 days,Multi-stressor,14,0.006665972,0.1031161,,,152-246,bad,152,246,,
4.1,TPC_accl,Bauline,26.4,6,2.35,15-10-2020,2,Strongylocentrotus droebachiensis,Barren,46.9,0.0469,2.489,17.963,15.747,2.216,0.002216,,700,650,50,600,0.6,Acclimated,24 days,Multi-stressor,14,0.007081224,0.1498689,,,152-246,bad,152,246,,
4.1,TPC_accl,Bauline,26.4,6,2.35,15-10-2020,3,Strongylocentrotus droebachiensis,Barren,42.6,0.0426,2.392,16.391,13.559,2.832,0.002832,,690,650,40,610,0.61,Acclimated,24 days,Multi-stressor,14,0.005842936,0.08789163,,,152-246,great,152,246,,
4.1,TPC_accl,Bauline,26.4,6,2.35,15-10-2020,4,Strongylocentrotus droebachiensis,Barren,46.8,0.0468,2.365,18.083,15.099,2.984,0.002984,,700,650,50,600,0.6,Acclimated,24 days,Multi-stressor,14,0.004496718,0.07052494,,,152-246,great,152,246,,
4.1,TPC_accl,Bauline,26.4,6,1.35,15-10-2020,5,Strongylocentrotus droebachiensis,Kelp,44.98,0.04498,2.416,18.523,15.226,3.297,0.003297,,690,650,40,610,0.61,Acclimated,24 days,Multi-stressor,14,0.0080386,0.1096683,,,152-246,great,152,246,,
4.1,TPC_accl,Bauline,26.4,6,1.35,15-10-2020,6,Strongylocentrotus droebachiensis,Kelp,56,0.056,2.53,23.182,18.657,4.525,0.004525,,700,650,50,600,0.6,Acclimated,24 days,Multi-stressor,14,0.009211126,0.1139941,,,152-246,good,152,246,,
4.1,TPC_accl,Bauline,26.4,6,1.35,15-10-2020,7,Strongylocentrotus droebachiensis,Kelp,44.8,0.0448,2.284,16.592,14.241,2.351,0.002351,,690,650,40,610,0.61,Acclimated,24 days,Multi-stressor,14,0.008399397,0.1600566,,,152-246,good,152,246,,
4.1,TPC_accl,Bauline,26.4,6,1.35,15-10-2020,8,Strongylocentrotus droebachiensis,Kelp,48.9,0.0489,2.554,20.311,16.549,3.762,0.003762,,690,650,40,610,0.61,Acclimated,24 days,Multi-stressor,14,0.007531292,0.09789479,,,152-246,good,152,246,,
4.1,TPC_accl,Bauline,26.4,6,1.35,15-10-2020,9,Strongylocentrotus droebachiensis,Kelp,39.9,0.0399,4.017,19.338,16.192,3.146,0.003146,,670,650,20,630,0.63,Acclimated,24 days,Multi-stressor,14,0.01067569,0.1353974,,,152-246,good,152,246,,
4.1,TPC_accl,Bauline,26.4,6,1.35,15-10-2020,10,Blank,Blank,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
4.1,TPC_accl,Bauline,26.8,10,2.35,15-10-2020,1,Strongylocentrotus droebachiensis,Barren,43.7,0.0437,2.488,18.255,15.43,2.825,0.002825,,700,650,50,600,0.6,Acclimated,24 days,Multi-stressor,14,0.01031273,0.1595279,,,280-337,great,280,337,,
4.1,TPC_accl,Bauline,26.8,10,2.35,15-10-2020,2,Strongylocentrotus droebachiensis,Barren,46.9,0.0469,2.489,17.963,15.747,2.216,0.002216,,700,650,50,600,0.6,Acclimated,24 days,Multi-stressor,14,0.008913261,0.1886426,,,280-337,great,280,337,,
4.1,TPC_accl,Bauline,26.8,10,2.35,15-10-2020,3,Strongylocentrotus droebachiensis,Barren,42.6,0.0426,2.392,16.391,13.559,2.832,0.002832,,690,650,40,610,0.61,Acclimated,24 days,Multi-stressor,14,0.008159558,0.1227391,,,280-337,great,280,337,,
4.1,TPC_accl,Bauline,26.8,10,2.35,15-10-2020,4,Strongylocentrotus droebachiensis,Barren,46.8,0.0468,2.365,18.083,15.099,2.984,0.002984,,700,650,50,600,0.6,Acclimated,24 days,Multi-stressor,14,0.006472773,0.1015167,,,280-337,great,280,337,,
4.1,TPC_accl,Bauline,26.8,10,1.35,15-10-2020,5,Strongylocentrotus droebachiensis,Kelp,44.98,0.04498,2.416,18.523,15.226,3.297,0.003297,,690,650,40,610,0.61,Acclimated,24 days,Multi-stressor,14,0.0109753,0.1497328,,,280-337,great,280,337,,
4.1,TPC_accl,Bauline,26.8,10,1.35,15-10-2020,6,Strongylocentrotus droebachiensis,Kelp,56,0.056,2.53,23.182,18.657,4.525,0.004525,,700,650,50,600,0.6,Acclimated,24 days,Multi-stressor,14,0.01234607,0.1527911,,,280-337,great,280,337,,
4.1,TPC_accl,Bauline,26.8,10,1.35,15-10-2020,7,Strongylocentrotus droebachiensis,Kelp,44.8,0.0448,2.284,16.592,14.241,2.351,0.002351,,690,650,40,610,0.61,Acclimated,24 days,Multi-stressor,14,0.01162791,0.2215782,,,280-337,great,280,337,,
4.1,TPC_accl,Bauline,26.8,10,1.35,15-10-2020,8,Strongylocentrotus droebachiensis,Kelp,48.9,0.0489,2.554,20.311,16.549,3.762,0.003762,,690,650,40,610,0.61,Acclimated,24 days,Multi-stressor,14,0.009251588,0.1202559,,,280-337,great,280,337,,
4.1,TPC_accl,Bauline,26.8,10,1.35,15-10-2020,9,Strongylocentrotus droebachiensis,Kelp,39.9,0.0399,4.017,19.338,16.192,3.146,0.003146,,670,650,20,630,0.63,Acclimated,24 days,Multi-stressor,14,0.01575641,0.1998349,,,280-337,great,280,337,,
4.1,TPC_accl,Bauline,26.8,10,1.35,15-10-2020,10,Blank,Blank,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
4.1,TPC_accl,Bauline,27,14,2.35,15-10-2020,1,Strongylocentrotus droebachiensis,Barren,43.7,0.0437,2.488,18.255,15.43,2.825,0.002825,,700,650,50,600,0.6,Acclimated,24 days,Multi-stressor,14,0.0113746,0.175954,,,377-423,good,377,423,,
